Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6969361,"2 States: The Story of My Marriage","Chetan Bhagat","Bhagat, Chetan","",="8129115301",="9788129115300",3,"3.46","Rupa & Co","Paperback","269",2009,2009,,2012/10/28,"","","read",,"",,,,,0,,,,,
105576,"Five Point Someone: What Not to Do at IIT","Chetan Bhagat","Bhagat, Chetan","",="8129104598",="9788129104595",4,"3.46","Rupa and Co","Paperback","267",2006,2004,,2012/10/28,"","","read",,"",,,,,0,,,,,
3586,"The Complete Sherlock Holmes, Volume II","Arthur Conan Doyle","Doyle, Arthur Conan","Kyle Freeman",="1593082045",="9781593082048",4,"4.44","Barnes & Noble Classics","Hardcover","752",2004,1930,,2012/10/28,"","","read",,"",,,,,0,,,,,
3581,"Sherlock Holmes: The Complete Novels and Stories, Volume I","Arthur Conan Doyle","Doyle, Arthur Conan","",="0553212419",="9780553212419",4,"4.43","Bantam Classics","Paperback","1090",1986,1927,,2012/10/28,"","","read",,"",,,,,0,,,,,
736131,"The Valley of Fear (Sherlock Holmes, #7)","Arthur Conan Doyle","Doyle, Arthur Conan","",="9626344245",="9789626344248",3,"3.97","Naxos of America","Audio CD","",2007,1914,,2012/10/28,"","","read",,"",,,,,0,,,,,
608474,"The Sign of Four (Sherlock Holmes, #2)","Arthur Conan Doyle","Doyle, Arthur Conan","Peter Ackroyd, Ed Glinert",="0140439072",="9780140439076",3,"3.96","Penguin Classics","Paperback","129",2001,1890,,2012/10/28,"","","read",,"",,,,,0,,,,,
194366,"The Return of Sherlock Holmes (Sherlock Holmes, #6)","Arthur Conan Doyle","Doyle, Arthur Conan","",="0192123173",="9780192123176",4,"4.27","Oxford University Press, USA","Hardcover","474",1993,1904,,2012/10/28,"","","read",,"",,,,,0,,,,,
194373,"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)","Arthur Conan Doyle","Doyle, Arthur Conan","",="0192123092",="9780192123091",4,"4.32","Oxford University Press, USA","Hardcover","321",1993,1893,,2012/10/28,"","","read",,"",,,,,0,,,,,
102868,"A Study in Scarlet  (Sherlock Holmes, #1)","Arthur Conan Doyle","Doyle, Arthur Conan","",="1420925539",="9781420925531",4,"4.13","Digireads.com","Paperback","108",2005,1887,,2012/10/28,"","","read",,"",,,,,0,,,,,
3590,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)","Arthur Conan Doyle","Doyle, Arthur Conan","",="0192835084",="9780192835086",4,"4.27","Oxford University Press, USA","Paperback","339",1998,1892,,2012/10/28,"","","read",,"",,,,,0,,,,,
8921,"The Hound of the Baskervilles (Sherlock Holmes, #5)","Arthur Conan Doyle","Doyle, Arthur Conan","Anne Perry",="0451528018",="9780451528018",4,"4.03","Signet Classics","Paperback","256",2001,1901,,2012/10/28,"","","read",,"",,,,,0,,,,,
1480452,"Mercy","David L. Lindsey","Lindsey, David L.","",="038524813X",="9780385248136",3,"3.92","Doubleday","Hardcover","513",1990,1990,,2012/10/28,"","","read",,"",,,,,0,,,,,
78987,"The Prodigal Daughter (Kane & Abel, #2)","Jeffrey Archer","Archer, Jeffrey","",="0312997140",="9780312997144",3,"3.88","St. Martin's Press","Paperback","496",2004,1982,,2012/10/28,"","","read",,"",,,,,0,,,,,
78982,"Not a Penny More, Not a Penny Less","Jeffrey Archer","Archer, Jeffrey","",="0312997132",="9780312997137",4,"3.97","St. Martin's Paperbacks","Paperback","305",2004,1976,,2012/10/28,"","","read",,"",,,,,0,,,,,
78983,"Kane and Abel (Kane and Abel, #1)","Jeffrey Archer","Archer, Jeffrey","",="0312995059",="9780312995058",4,"4.23","St. Martin's Paperbacks","Paperback","592",2004,1979,,2012/10/28,"","","read",,"",,,,,0,,,,,
1611988,"A Prisoner of Birth","Jeffrey Archer","Archer, Jeffrey","",="0312379293",="9780312379292",3,"4.04","St. Martin's Press","Hardcover","501",2008,2008,,2012/10/28,"","","read",,"",,,,,0,,,,,
5907,"The Hobbit (Middle-Earth Universe)","J.R.R. Tolkien","Tolkien, J.R.R.","",="0618260307",="9780618260300",5,"4.20","Houghton Mifflin","Paperback","365",2002,1937,,2012/10/28,"","","read",,"",,,,,0,,,,,
7913305,"The Immortals of Meluha (Shiva Trilogy #1)","Amish Tripathi","Tripathi, Amish","",="8183860699",="9788183860697",3,"3.93","Westland ","Paperback","436",2010,2010,,2012/10/28,"","","read",,"",,,,,0,,,,,
11827808,"The Secret of the Nagas (Shiva Trilogy #2)","Amish Tripathi","Tripathi, Amish","",="9380658797",="97893806587",3,"3.93","Westland","Paperback","396",2011,2011,,2012/10/28,"","","read",,"",,,,,0,,,,,
12615008,"Revolution 2020: Love, Corruption, Ambition","Chetan Bhagat","Bhagat, Chetan","",="8129118807",="9788129118806",3,"3.10","Rupa Publications","Paperback","296",2011,2011,,2012/10/28,"","","read",,"",,,,,0,,,,,
5052,"Code to Zero","Ken Follett","Follett, Ken","",="0451216725",="9780451216724",4,"3.58","NAL Trade","Paperback","384",2005,2000,,2012/10/28,"","","read",,"",,,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling","Rowling, J.K.","Mary GrandPré",="0439358078",="9780439358071",3,"4.41","Scholastic","Paperback","870",2004,2003,,2012/10/28,"","","read",,"",,,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling","Rowling, J.K.","Mary GrandPré",="0439064864",="9780439064866",4,"4.30","Arthur A. Levine Books","Hardcover","342",1999,1998,,2012/10/28,"","","read",,"",,,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling","Rowling, J.K.","Mary GrandPré",="0439785960",="9780439785969",3,"4.49","Scholastic","Paperback","652",2006,2005,,2012/10/28,"","","read",,"",,,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling","Rowling, J.K.","Mary GrandPré",="0439139600",="9780439139601",4,"4.47","Scholastic","Paperback","734",2002,2000,,2012/10/28,"","","read",,"",,,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling","Rowling, J.K.","Mary GrandPré",="0545010225",="9780545010221",4,"4.57","Arthur A. Levine Books","Hardcover","609",2007,2007,,2012/10/28,"","","read",,"",,,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling","Rowling, J.K.","Mary GrandPré",="043965548X",="9780439655484",3,"4.47","Scholastic","Mass Market Paperback","560",2004,1998,,2012/10/28,"","","read",,"",,,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling","Rowling, J.K.","Mary GrandPré",="0439554934",="9780439554930",4,"4.38","Scholastic","Hardcover","310",2003,1997,,2012/10/28,"","","read",,"",,,,,0,,,,,
865,"The Alchemist","Paulo Coelho","Coelho, Paulo","Alan R. Clarke",="0061122416",="9780061122415",3,"3.75","HarperCollins","Paperback","197",1993,1988,,2012/10/28,"","","read",,"",,,,,0,,,,,
428263,"Eclipse (Twilight, #3)","Stephenie Meyer","Meyer, Stephenie","",="0316160202",="9780316160209",2,"3.71","Little, Brown and Company","Hardcover","629",2007,2007,,2012/10/28,"","","read",,"",,,,,0,,,,,
1162543,"Breaking Dawn (Twilight, #4)","Stephenie Meyer","Meyer, Stephenie","",="031606792X",="9780316067928",1,"3.71","Little, Brown and Company","Hardcover","756",2008,2008,,2012/10/28,"","","read",,"",,,,,0,,,,,
49041,"New Moon (Twilight, #2)","Stephenie Meyer","Meyer, Stephenie","",="0316160199",="9780316160193",1,"3.53","Little, Brown and Company","Hardcover","563",2006,2006,,2012/10/28,"","","read",,"",,,,,0,,,,,
10805187,"Veronika Decides To Die","Paulo Coelho","Coelho, Paulo","",="7544247244",="9787544247245",2,"3.69","Nan Hai Chu Ban Gong Si","Paperback","238",2010,1998,,2012/10/28,"","","read",,"",,,,,0,,,,,
41865,"Twilight (Twilight, #1)","Stephenie Meyer","Meyer, Stephenie","",="0316015849",="9780316015844",2,"3.56","Little, Brown and Company","Paperback","498",2006,2005,,2012/10/28,"","","read",,"",,,,,0,,,,,
33600,"Shantaram","Gregory David Roberts","Roberts, Gregory David","",="192076920X",="9781920769208",5,"4.23","Scribe","Paperback","936",2004,2003,,2012/10/28,"","","read",,"",,,,,0,,,,,
32542,"A Time to Kill (Jake Brigance, #1)","John Grisham","Grisham, John","",="0385338600",="9780385338608",3,"3.96","Dell","Paperback","544",2004,1989,,2012/10/28,"","","read",,"",,,,,0,,,,,
11125,"Digital Fortress","Dan Brown","Brown, Dan","",="0552151696",="9780552151696",2,"3.52","Corgi books","Paperback","510",2004,1998,,2012/10/28,"","","read",,"",,,,,0,,,,,
976,"Deception Point","Dan Brown","Brown, Dan","",="0671027387",="9780671027384",3,"3.59","Pocket Books","Paperback","556",2002,2001,,2012/10/28,"","","read",,"",,,,,0,,,,,
6411961,"The Lost Symbol (Robert Langdon, #3)","Dan Brown","Brown, Dan","",="0385504225",="9780385504225",3,"3.60","Doubleday","Hardcover","509",2009,2009,,2012/10/28,"","","read",,"",,,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)","Dan Brown","Brown, Dan","",="0307277674",="9780307277671",4,"3.72","Anchor Books","Paperback","490",2006,2003,,2012/10/28,"","","read",,"",,,,,0,,,,,
960,"Angels & Demons  (Robert Langdon, #1)","Dan Brown","Brown, Dan","",="1416524797",="9781416524793",4,"3.80","","Paperback","713",2006,2000,,2012/10/28,"","","read",,"",,,,,0,,,,,
